Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı,Puan_Degeri,Oy_Sayisi,Liste_Fiyati_Numeric,Yayin_Yili,Sayfa_Sayisi_Numeric,Ana_Kategori,Dil_Encoded,Cilt Tipi_Encoded,Kağıt Cinsi_Encoded,Ana_Kategori_Grouped,Ana_Kategori_Bilim & Mühendislik,Ana_Kategori_Diger,Ana_Kategori_Diğer,Ana_Kategori_Edebiyat,Ana_Kategori_Felsefe-Düşünce,Ana_Kategori_Kişisel Gelişim,Ana_Kategori_Siyaset,Ana_Kategori_Sosyoloji,Ana_Kategori_Tarih,Ana_Kategori_Çocuk Kitapları,Ana_Kategori_İslam,Liste_Fiyati_Numeric_Normalized,Sayfa_Sayisi_Numeric_Normalized,Favorilere Ekleyen Kişi Sayısı_Normalized,Okuyacağım olarak işaretlenmiş sayısı_Normalized,Okuyorum olarak işaretlenmiş sayısı_Normalized,Okudum olarak işaretlenmiş sayısı_Normalized,Toplam Yorum Sayısı_Normalized,Puan_Degeri_Normalized,Oy_Sayisi_Normalized,Toplam Satılma Sayısı_Normalized
Güzel Ölüler -3,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Eden Maguire,PEGASUS YAYINLARI,4 / 5 (4 oy),80.0,4.0,0,5.0,"249,00",21.06.2013,TÜRKÇE,280,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,33.0,1.0,4.0,4.0,249.0,2013.0,280.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.4509915014164305,0.43537414965986393,0.2763385146804836,0.007272727272727273,0.0,0.005246589716684156,0.002631578947368421,0.75,0.00033032371724289804,0.06645898234683281
Türkiye'de Darbeler ve Darbelerde ABD'nin Rolü,Kitap > Siyaset > Araştırma-İnceleme,Çetin Orhan,ALAN YAYINCILIK,5 / 5 (3 oy),51.0,4.0,0,4.0,"480,00",24.02.2023,TÜRKÇE,472,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,131.0,2.0,5.0,3.0,480.0,2023.0,472.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.9745042492917846,0.7619047619047619,0.17616580310880828,0.007272727272727273,0.0,0.004197271773347324,0.005263157894736842,1.0,0.00022021581149526536,0.2699896157840083
Avolon Okçuları Serisi Özel Set (3 Kitap),Kitap > Edebiyat > Roman (Çeviri),Chelsea Fine,PEGASUS YAYINLARI,4 / 5 (21 oy),289.5,19.0,0,27.0,"847,00",,TÜRKÇE,1208,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,299.0,14.0,4.0,21.0,491.25,2021.0,612.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,1.0,0.034545454545454546,0.0,0.02833158447009444,0.03684210526315789,0.75,0.002202158114952654,0.6188992731048806
Hans Huckebein: Talihsiz KuzgunTüftüfCumartesi Akşamı Banyosu,Kitap > Eğlence-Mizah > Çizgi Roman,Wilhelm Busch,FİHRİST KİTAP,5 / 5 (9 oy),67.0,10.0,1,11.0,"119,50",21.08.2023,TÜRKÇE,60,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,78.0,6.0,5.0,9.0,119.5,2023.0,60.0,Eğlence-Mizah,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.1575070821529745,0.06122448979591837,0.231433506044905,0.01818181818181818,0.001937984496124031,0.011542497376705142,0.015789473684210527,1.0,0.0008808632459810614,0.15991692627206644
Türkiye’de ve Dünya’da Engelli Dostu Sosyal Politikalar,Kitap > Siyaset > Diğer > Kitap > Sosyoloji > Diğer,Prof. Dr. Ali Seyyar,RAĞBET YAYINLARI-KAMPANYA,4 / 5 (9 oy),33.0,4.0,2,6.0,"744,00",15.10.2015,TÜRKÇE,496,Karton Kapak,15.5 x 23.5 cm,Kitap Kağıdı,173.0,2.0,4.0,9.0,491.25,2015.0,496.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,1.0,0.802721088435374,0.11398963730569947,0.007272727272727273,0.003875968992248062,0.0062959076600209865,0.005263157894736842,0.75,0.0008808632459810614,0.3572170301142264
Dördüncü Bozgun,Kitap > Siyaset > Araştırma-İnceleme,Hüseyin Özbek,DOĞU KİTABEVİ,5 / 5 (1 oy),9.0,1.0,0,0.0,"364,00",23.06.2022,TÜRKÇE,304,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,211.0,0.0,5.0,1.0,364.0,2022.0,304.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.7116147308781869,0.4761904761904762,0.031088082901554404,0.0018181818181818182,0.0,0.0,0.0,1.0,0.0,0.43613707165109034
Geronimo,Kitap > Tarih > Kişiler > Kitap > Kültür > Kültür Tarihi,S. M. Barret,DESTEK YAYIN GRUBU-KAMPANYA,4 / 5 (19 oy),138.0,10.0,3,19.0,"140,00",27.05.2021,TÜRKÇE,152,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,147.0,8.0,4.0,19.0,140.0,2021.0,152.0,Tarih,0,1,3,Tarih,0,0,0,0,0,0,0,0,1,0,0,0.20396600566572237,0.217687074829932,0.47668393782383417,0.01818181818181818,0.005813953488372093,0.01993704092339979,0.021052631578947368,0.75,0.001981942303457388,0.3032191069574247
Şairin 12'si,Kitap > Diğer > Söyleşi,Ayhan Şahin,FİHRİST KİTAP,,16.0,1.0,0,1.0,"234,50",10.03.2022,TÜRKÇE,156,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,15.0,0.0,5.0,5.5,234.5,2022.0,156.0,Diğer,0,1,3,Diğer,0,0,1,0,0,0,0,0,0,0,0,0.4181303116147308,0.22448979591836737,0.055267702936096716,0.0018181818181818182,0.0,0.001049317943336831,0.0,1.0,0.000495485575864347,0.029075804776739357
Büyük Frederik Anti-Makyavel,Kitap > Edebiyat > Deneme (Çeviri),Voltaire,YEDİTEPE YAYINEVİ-KAMPANYA,5 / 5 (32 oy),289.5,26.0,1,22.0,"150,00",06.10.2016,TÜRKÇE,160,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,473.0,9.0,5.0,32.0,150.0,2016.0,160.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.22662889518413593,0.2312925170068027,1.0,0.04727272727272727,0.001937984496124031,0.023084994753410283,0.02368421052631579,1.0,0.003413345078176613,0.9802699896157839
Göçmen Bavulu,Kitap > Sosyoloji > Araştırma-İnceleme,Cemil Şahinöz,LEJAND,5 / 5 (2 oy),52.0,3.0,0,5.0,"130,00",28.07.2022,TÜRKÇE,108,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,262.0,2.0,5.0,2.0,130.0,2022.0,108.0,Sosyoloji,0,1,3,Sosyoloji,0,0,0,0,0,0,0,1,0,0,0,0.18130311614730876,0.14285714285714285,0.17962003454231432,0.005454545454545455,0.0,0.005246589716684156,0.005263157894736842,1.0,0.00011010790574763268,0.5420560747663551
Gözlemci Olarak Buradayız,Kitap > Edebiyat > Roman (Yerli),Emirhan Burak Aydın,DEDALUS KİTAP,4 / 5 (40 oy),142.0,38.0,2,28.0,"60,00",02.01.2018,TÜRKÇE,238,Karton Kapak,13 x 20 cm,Kitap Kağıdı,482.5,15.0,4.0,40.0,60.0,2018.0,238.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.022662889518413595,0.36394557823129253,0.4905008635578584,0.06909090909090909,0.003875968992248062,0.02938090241343127,0.039473684210526314,0.75,0.004294208324157674,0.9999999999999999
Takı Yapım Teknikleri 2,Kitap > Hobi > El İşleri,Nuran Sarısoy,İNKILAP KİTABEVİ-KAMPANYA,5 / 5 (4 oy),144.0,0.0,1,1.0,"415,00",22.02.2007,TÜRKÇE,208,Karton Kapak,21 x 29.5 cm,Kitap Kağıdı,135.0,1.0,5.0,4.0,415.0,2007.0,208.0,Hobi,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.8271954674220963,0.3129251700680272,0.49740932642487046,0.0,0.001937984496124031,0.001049317943336831,0.002631578947368421,1.0,0.00033032371724289804,0.2782969885773624
Doğa ve Yaşam,Kitap > Felsefe-Düşünce > Diğer,Alfred North Whitehead,SAY YAYIN GRUBU-KAMPANYA,3 / 5 (2 oy),77.0,3.0,1,3.0,"150,00",20.01.2023,TÜRKÇE,64,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,69.0,0.0,3.0,2.0,150.0,2023.0,64.0,Felsefe-Düşünce,0,1,3,Felsefe-Düşünce,0,0,0,0,1,0,0,0,0,0,0,0.22662889518413593,0.06802721088435373,0.2659758203799654,0.005454545454545455,0.001937984496124031,0.0031479538300104933,0.0,0.5,0.00011010790574763268,0.1412253374870197
Başkaldırı / Eve 3,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Anna Carey,PEGASUS YAYINLARI,5 / 5 (13 oy),68.0,6.0,0,10.0,"269,00",09.10.2015,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,45.0,1.0,5.0,13.0,269.0,2015.0,288.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.49631728045325774,0.4489795918367347,0.23488773747841105,0.01090909090909091,0.0,0.010493179433368312,0.002631578947368421,1.0,0.0013212948689715921,0.09138110072689512
Anadolu Tasavvufu,Kitap > Din > Felsefe-Sosyoloji-Psikoloji,Akın Gülyurt,LEJAND,5 / 5 (18 oy),162.0,12.0,1,10.0,"250,00",06.02.2025,TÜRKÇE,270,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,482.5,9.0,5.0,18.0,250.0,2025.0,270.0,Din,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.45325779036827196,0.41836734693877553,0.5595854922279793,0.02181818181818182,0.001937984496124031,0.010493179433368312,0.02368421052631579,1.0,0.0018718343977097555,0.9999999999999999
Ay Çöreği,Kitap > Kültür > Kültür Yazıları > Kitap > Edebiyat > Deneme (Yerli),Mustafa Arslantunalı,İLETİŞİM YAYINLARI KAMPANYA,5 / 5 (6 oy),65.0,16.0,1,2.0,"202,00",09.01.2020,TÜRKÇE,347,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,130.0,0.0,5.0,6.0,202.0,2020.0,347.0,Kültür,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.34447592067988664,0.5493197278911564,0.2245250431778929,0.02909090909090909,0.001937984496124031,0.002098635886673662,0.0,1.0,0.0005505395287381633,0.2679127725856698
Açlık Oyunları Haraçları Tanıyalım,Kitap > Edebiyat > Roman (Çeviri),Kate Egan,PEGASUS YAYINLARI - KAMPANYA,4 / 5 (84 oy),289.5,54.0,3,77.0,"299,00",05.03.2012,TÜRKÇE,128,Karton Kapak,13.3 x 20.3 cm,Kitap Kağıdı,482.5,32.0,4.0,84.0,299.0,2012.0,128.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5643059490084985,0.17687074829931973,1.0,0.09818181818181818,0.005813953488372093,0.080797481636936,0.08421052631578947,0.75,0.009138956177053513,0.9999999999999999
Atatürk’ten Menderes’e Güneydoğu Kalkınması,Kitap > Siyaset,Ramazan Topdemir,TRUVA YAYINLARI,3 / 5 (1 oy),11.0,2.0,0,0.0,"175,00",15.08.2023,TÜRKÇE,168,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,63.0,0.0,3.0,1.0,175.0,2023.0,168.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.2832861189801699,0.24489795918367346,0.037996545768566495,0.0036363636363636364,0.0,0.0,0.0,0.5,0.0,0.12876427829698855
Yeni Dünya Amerika-Philadelphia 1693,Kitap > Edebiyat > Roman (Yerli),Dr. Maksut Sarı,DOĞU KİTABEVİ,5 / 5 (1 oy),19.0,0.0,0,1.0,"263,00",01.08.2024,TÜRKÇE,208,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,13.0,1.0,5.0,1.0,263.0,2024.0,208.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.4827195467422096,0.3129251700680272,0.06563039723661485,0.0,0.0,0.001049317943336831,0.002631578947368421,1.0,0.0,0.024922118380062305
Aynada Başkasını Aramak,Kitap > Edebiyat > Diğer,Emre Ağanoğlu,EPONA KİTAP,,2.0,0.0,0,0.0,"158,00",03.05.2024,TÜRKÇE,48,Karton Kapak,12 x 19 cm,Kitap Kağıdı,24.0,0.0,5.0,5.5,158.0,2024.0,48.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.2447592067988668,0.04081632653061224,0.0069084628670120895,0.0,0.0,0.0,0.0,1.0,0.000495485575864347,0.04776739356178608
RomantizmKısa Bir Giriş,Kitap > Felsefe-Düşünce > Diğer,Michael Ferber,SAY YAYIN GRUBU-KAMPANYA,,98.0,3.0,1,0.0,"250,00",12.06.2020,TÜRKÇE,192,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,69.0,0.0,5.0,5.5,250.0,2020.0,192.0,Felsefe-Düşünce,0,1,3,Felsefe-Düşünce,0,0,0,0,1,0,0,0,0,0,0,0.45325779036827196,0.2857142857142857,0.3385146804835924,0.005454545454545455,0.001937984496124031,0.0,0.0,1.0,0.000495485575864347,0.1412253374870197
Lirik Prenses Tezer,Kitap > Edebiyat > Roman (Yerli),Selda Terek Bilecen,DESTEK YAYIN GRUBU-KAMPANYA,4 / 5 (42 oy),105.0,28.0,5,38.0,"350,00",07.04.2017,TÜRKÇE,312,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,248.0,22.0,4.0,42.0,350.0,2017.0,312.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.6798866855524078,0.489795918367347,0.36269430051813467,0.05090909090909091,0.009689922480620155,0.03987408184679958,0.05789473684210526,0.75,0.00451442413565294,0.5129802699896158
Simetrik Can Alıcı Diriliş,Kitap > Edebiyat > Şiir (Yerli),Mehmet Metin Tavukçu,SARMAL KİTABEVİ,,1.0,0.0,0,0.0,"140,00",10.04.2021,TÜRKÇE,89,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,17.0,0.0,5.0,5.5,140.0,2021.0,89.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.20396600566572237,0.11054421768707484,0.0034542314335060447,0.0,0.0,0.0,0.0,1.0,0.000495485575864347,0.033229491173416406
Taş Tüter Duman Çatlar,Kitap > Edebiyat > Hikaye (Yerli),Serkan Gülpınar,EPONA KİTAP,,14.0,4.0,1,1.0,"234,00",26.03.2024,TÜRKÇE,157,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,302.0,0.0,5.0,5.5,234.0,2024.0,157.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.4169971671388102,0.22619047619047616,0.048359240069084625,0.007272727272727273,0.001937984496124031,0.001049317943336831,0.0,1.0,0.000495485575864347,0.6251298026998962
Sıradışı Bir Siyasetçi: Kasım GülekHayatı ve Siyasi Faaliyetleri,Kitap > Siyaset > Biyografi-Otobiyografi,Meral Balcı,YEDİTEPE YAYINEVİ-KAMPANYA,5 / 5 (31 oy),144.0,16.0,3,17.0,"320,00",09.04.2015,TÜRKÇE,342,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,348.0,17.0,5.0,31.0,320.0,2015.0,342.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.6118980169971671,0.5408163265306122,0.49740932642487046,0.02909090909090909,0.005813953488372093,0.017838405036726127,0.04473684210526316,1.0,0.0033032371724289805,0.7206645898234683
Kıbrıs ve Doğu Akdeniz Araştırmaları,Kitap > Kültür > Arkeoloji > Kitap > Siyaset > Kıbrıs > Kitap > Akademik > Tarih İnceleme,Gökçe Yükselen Peler,Mİ YAYINLARI,,32.0,2.0,1,0.0,"999,00",06.02.2024,TÜRKÇE,600,Karton Kapak,15 x 23 cm,Kitap Kağıdı,25.0,0.0,5.0,5.5,491.25,2024.0,600.0,Kültür,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,1.0,0.9795918367346939,0.11053540587219343,0.0036363636363636364,0.001937984496124031,0.0,0.0,1.0,0.000495485575864347,0.04984423676012461
Sen de Vur Hocam,Kitap > Edebiyat > Diğer,Galip  Duman,EMRE YAYINLARI,5 / 5 (1 oy),5.0,0.0,0,1.0,"260,00",01.03.2023,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,482.5,1.0,5.0,1.0,260.0,2023.0,288.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.4759206798866855,0.4489795918367347,0.017271157167530225,0.0,0.0,0.001049317943336831,0.002631578947368421,1.0,0.0,0.9999999999999999
"Laik Devlet Kuşatma AltındaAvrupa ve Amerika’da Hıristiyanlık, İslam ve Siyaset",Kitap > Din > İslamiyet > Kitap > Din > Hristiyanlık > Kitap > Siyaset > Araştırma-İnceleme,Christian Joppke,SAY YAYIN GRUBU-KAMPANYA,3 / 5 (6 oy),112.0,4.0,1,1.0,"300,00",14.02.2018,TÜRKÇE,352,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,61.0,1.0,3.0,6.0,300.0,2018.0,352.0,Din,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.5665722379603398,0.5578231292517006,0.386873920552677,0.007272727272727273,0.001937984496124031,0.001049317943336831,0.002631578947368421,0.5,0.0005505395287381633,0.12461059190031153
Halkla İlişkiler Ne Değildir?,Kitap > Diğer > Reklamcılık-Halkla İlişkiler,Kolektif,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (2 oy),17.0,0.0,1,0.0,"300,00",20.05.2014,TÜRKÇE,400,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,25.0,0.0,5.0,2.0,300.0,2014.0,400.0,Diğer,0,1,3,Diğer,0,0,1,0,0,0,0,0,0,0,0,0.5665722379603398,0.6394557823129251,0.05872193436960276,0.0,0.001937984496124031,0.0,0.0,1.0,0.00011010790574763268,0.04984423676012461
İzmir Çıkmazı,Kitap > Edebiyat > Tarihi Roman,Charles Thoma,BİLGE KÜLTÜR SANAT,4 / 5 (22 oy),111.0,15.0,2,14.0,"360,00",12.02.2016,TÜRKÇE,448,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,263.0,8.0,4.0,22.0,360.0,2016.0,448.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.7025495750708215,0.7210884353741496,0.38341968911917096,0.02727272727272727,0.003875968992248062,0.014690451206715634,0.021052631578947368,0.75,0.0023122660207002864,0.5441329179646937
80 Gün Aşkın Rengi,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Vina Jackson,PEGASUS YAYINLARI,4 / 5 (20 oy),132.0,7.0,2,23.0,"299,00",06.07.2013,TÜRKÇE,336,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,213.0,5.0,4.0,20.0,299.0,2013.0,336.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5643059490084985,0.5306122448979591,0.4559585492227979,0.012727272727272728,0.003875968992248062,0.024134312696747116,0.013157894736842105,0.75,0.0020920502092050207,0.4402907580477674
Sosyalizm,Kitap > Siyaset > Araştırma-İnceleme,Peter Lamb,LİBERUS,4 / 5 (2 oy),102.0,6.0,0,0.0,"220,00",26.05.2023,TÜRKÇE,174,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,150.0,0.0,4.0,2.0,220.0,2023.0,174.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.38526912181303113,0.25510204081632654,0.35233160621761656,0.01090909090909091,0.0,0.0,0.0,0.75,0.00011010790574763268,0.3094496365524403
Tevhid Adalet Özgürlük / Yeniden Düşünmek,Kitap > İslam > Diğer,Ahmet Özcan,YARIN YAYINCILIK,5 / 5 (5 oy),27.0,3.0,0,2.0,"210,50",21.12.2021,TÜRKÇE,148,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,85.0,1.0,5.0,5.0,210.5,2021.0,148.0,İslam,0,1,3,İslam,0,0,0,0,0,0,0,0,0,0,1,0.3637393767705382,0.2108843537414966,0.09326424870466321,0.005454545454545455,0.0,0.002098635886673662,0.002631578947368421,1.0,0.00044043162299053066,0.17445482866043613
Hürriyet Adalet Müsavat,Kitap > Tarih > Siyasal Tarih,Mehmet Esat Işık,MAVİ GÖK YAYINLARI,5 / 5 (1 oy),37.0,0.0,0,2.0,"162,00",12.02.2024,TÜRKÇE,56,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,48.0,0.0,5.0,1.0,162.0,2024.0,56.0,Tarih,0,1,3,Tarih,0,0,0,0,0,0,0,0,1,0,0,0.25382436260623226,0.05442176870748299,0.12780656303972365,0.0,0.0,0.002098635886673662,0.0,1.0,0.0,0.0976116303219107
Gençler İçin Deprem ve TsunamiSoru Oyun Ve Deneylerle Anlama,Kitap > Bilim & Mühendislik > Diğer,Eşref Atabey,SARMAL KİTABEVİ,5 / 5 (1 oy),34.0,3.0,0,3.0,"200,00",25.05.2021,TÜRKÇE,170,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,38.0,1.0,5.0,1.0,200.0,2021.0,170.0,Bilim & Mühendislik,0,1,3,Bilim & Mühendislik,1,0,0,0,0,0,0,0,0,0,0,0.3399433427762039,0.24829931972789115,0.11744386873920552,0.005454545454545455,0.0,0.0031479538300104933,0.002631578947368421,1.0,0.0,0.07684319833852545
Ay'a Yolculuk,Kitap > Edebiyat > Bilimkurgu-Fantazya,George Tucker,FİHRİST KİTAP,5 / 5 (4 oy),37.0,6.0,0,5.0,"299,50",09.08.2021,TÜRKÇE,214,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,152.0,1.0,5.0,4.0,299.5,2021.0,214.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5654390934844192,0.32312925170068024,0.12780656303972365,0.01090909090909091,0.0,0.005246589716684156,0.002631578947368421,1.0,0.00033032371724289804,0.31360332294911736
Gaslight,Kitap > Siyaset > Araştırma-İnceleme,Yılmaz Özdil,SİA KİTAP,5 / 5 (125 oy),1.642,237.0,26,196.0,"350,00",25.10.2023,TÜRKÇE,600,Karton Kapak,13.7 x 23 cm,Kitap Kağıdı,482.5,80.0,5.0,125.0,350.0,2023.0,600.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.6798866855524078,0.9795918367346939,0.005671848013816925,0.4309090909090909,0.050387596899224806,0.2056663168940189,0.21052631578947367,1.0,0.013653380312706452,0.9999999999999999
Bosna'da Egemenlik Sorunu- Dayton Anlaşması,Kitap > Siyaset > Bölgeler-Ülkeler > Kitap > Siyaset > Araştırma-İnceleme,Esat Ertaç Erbesler,BİYOGRAFİ.NET,5 / 5 (2 oy),30.0,1.0,0,0.0,"250,00",18.03.2021,TÜRKÇE,224,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,45.0,1.0,5.0,2.0,250.0,2021.0,224.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.45325779036827196,0.3401360544217687,0.10362694300518134,0.0018181818181818182,0.0,0.0,0.002631578947368421,1.0,0.00011010790574763268,0.09138110072689512
Hayatın Yarası,Kitap > Edebiyat > Anı (Hatırat),,YEDİTEPE YAYINEVİ-KAMPANYA,5 / 5 (4 oy),20.0,5.0,0,1.0,"250,00",13.10.2016,TÜRKÇE,286,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,31.0,2.0,5.0,4.0,250.0,2016.0,286.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.45325779036827196,0.445578231292517,0.0690846286701209,0.00909090909090909,0.0,0.001049317943336831,0.005263157894736842,1.0,0.00033032371724289804,0.06230529595015576
Güç Oyunu,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Joseph Finder,BİLGE KÜLTÜR SANAT,4 / 5 (20 oy),125.0,9.0,0,23.0,"300,00",13.02.2008,TÜRKÇE,336,Karton Kapak,13.5 x 21.5 cm,Kitap Kağıdı,162.0,9.0,4.0,20.0,300.0,2008.0,336.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5665722379603398,0.5306122448979591,0.4317789291882556,0.016363636363636365,0.0,0.024134312696747116,0.02368421052631579,0.75,0.0020920502092050207,0.3343717549325026
İçimdeki Duvarlar / Koşulsuz 1. Kitap,Kitap > Edebiyat > Roman (Yerli),Esra Güntay Beyatlı,SAY YAYIN GRUBU-KAMPANYA,2 / 5 (1 oy),9.0,1.0,0,0.0,"200,00",09.03.2017,TÜRKÇE,272,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,11.0,0.0,2.0,1.0,200.0,2017.0,272.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.3399433427762039,0.42176870748299317,0.031088082901554404,0.0018181818181818182,0.0,0.0,0.0,0.25,0.0,0.020768431983385256
Müslümanların Gözüyle Haçlı Seferleri,Kitap > Tarih > Araştırma-İnceleme,Paul M. Cobb,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (19 oy),285.0,23.0,2,6.0,"400,00",15.11.2018,TÜRKÇE,464,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,208.0,5.0,5.0,19.0,400.0,2018.0,464.0,Tarih,0,1,3,Tarih,0,0,0,0,0,0,0,0,1,0,0,0.7932011331444758,0.7482993197278911,0.9844559585492227,0.04181818181818182,0.003875968992248062,0.0062959076600209865,0.013157894736842105,1.0,0.001981942303457388,0.42990654205607476
Demir Orkide,Kitap > Edebiyat > Roman (Çeviri),Stuart Woods,BİLGE KÜLTÜR SANAT,4 / 5 (20 oy),70.0,8.0,1,12.0,"240,00",20.08.2007,TÜRKÇE,280,Karton Kapak,13.5 x 21.5 cm,Kitap Kağıdı,143.0,7.0,4.0,20.0,240.0,2007.0,280.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.4305949008498583,0.43537414965986393,0.24179620034542312,0.014545454545454545,0.001937984496124031,0.012591815320041973,0.018421052631578946,0.75,0.0020920502092050207,0.2949117341640706
Kuzucuk,Kitap > Çocuk Kitapları > Hikaye,Müjdat Gezen,BİLGE KÜLTÜR SANAT,4 / 5 (14 oy),67.0,8.0,2,3.0,"120,00",01.01.2010,TÜRKÇE,60,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,239.0,2.0,4.0,14.0,120.0,2010.0,60.0,Çocuk Kitapları,0,1,3,Çocuk Kitapları,0,0,0,0,0,0,0,0,0,1,0,0.15864022662889515,0.06122448979591837,0.231433506044905,0.014545454545454545,0.003875968992248062,0.0031479538300104933,0.005263157894736842,0.75,0.001431402774719225,0.49428868120456904
